case,trial,action_id,expected_verified_delivery,payload_bytes,qgp_envelope_bytes,encrypted_frame_bytes,total_chunks,sent_chunks,wire_datagrams_sent,dropped_chunk_count,duplicated_chunk_count,reorder_swap_count,loss_rate,transport_key_id,send_error_present,verified_delivery_count,application_plaintext_count,false_verified_delivery,false_plaintext_delivery,missing_delivery,duplicate_delivery,trial_result
clean_baseline,1,ACT-000250,True,16384,24248,24322,96,96,96,0,0,0,0.0,KID-013,False,1,1,False,False,False,False,PASS
clean_baseline,2,ACT-000251,True,16384,24248,24322,96,96,96,0,0,0,0.0,KID-013,False,1,1,False,False,False,False,PASS
clean_baseline,3,ACT-000252,True,16384,24248,24322,96,96,96,0,0,0,0.0,KID-013,False,1,1,False,False,False,False,PASS
clean_baseline,4,ACT-000253,True,16384,24248,24322,96,96,96,0,0,0,0.0,KID-013,False,1,1,False,False,False,False,PASS
clean_baseline,5,ACT-000254,True,16384,24248,24322,96,96,96,0,0,0,0.0,KID-013,False,1,1,False,False,False,False,PASS
reorder_5pct,1,ACT-000255,True,16384,24242,24316,95,95,95,0,0,5,0.0,KID-013,False,1,1,False,False,False,False,PASS
reorder_5pct,2,ACT-000256,True,16384,24242,24316,95,95,95,0,0,5,0.0,KID-013,False,1,1,False,False,False,False,PASS
reorder_5pct,3,ACT-000257,True,16384,24242,24316,95,95,95,0,0,5,0.0,KID-013,False,1,1,False,False,False,False,PASS
reorder_5pct,4,ACT-000258,True,16384,24242,24316,95,95,95,0,0,5,0.0,KID-013,False,1,1,False,False,False,False,PASS
reorder_5pct,5,ACT-000259,True,16384,24244,24318,95,95,95,0,0,5,0.0,KID-013,False,1,1,False,False,False,False,PASS
duplicate_chunk,1,ACT-000260,True,16384,24253,24327,96,97,97,0,1,0,0.0,KID-013,False,1,1,False,False,False,False,PASS
duplicate_chunk,2,ACT-000261,True,16384,24253,24327,96,97,97,0,1,0,0.0,KID-013,False,1,1,False,False,False,False,PASS
duplicate_chunk,3,ACT-000262,True,16384,24253,24327,96,97,97,0,1,0,0.0,KID-013,False,1,1,False,False,False,False,PASS
duplicate_chunk,4,ACT-000263,True,16384,24253,24327,96,97,97,0,1,0,0.0,KID-013,False,1,1,False,False,False,False,PASS
duplicate_chunk,5,ACT-000264,True,16384,24253,24327,96,97,97,0,1,0,0.0,KID-013,False,1,1,False,False,False,False,PASS
drop_one_chunk,1,ACT-000265,False,16384,24250,24324,96,95,95,1,0,0,0.010416666666666666,KID-013,False,0,0,False,False,False,False,PASS
drop_one_chunk,2,ACT-000266,False,16384,24250,24324,96,95,95,1,0,0,0.010416666666666666,KID-013,False,0,0,False,False,False,False,PASS
drop_one_chunk,3,ACT-000267,False,16384,24250,24324,96,95,95,1,0,0,0.010416666666666666,KID-013,False,0,0,False,False,False,False,PASS
drop_one_chunk,4,ACT-000268,False,16384,24250,24324,96,95,95,1,0,0,0.010416666666666666,KID-013,False,0,0,False,False,False,False,PASS
drop_one_chunk,5,ACT-000269,False,16384,24250,24324,96,95,95,1,0,0,0.010416666666666666,KID-013,False,0,0,False,False,False,False,PASS
random_1pct_loss,1,ACT-000270,False,16384,24256,24330,96,95,95,1,0,0,0.010416666666666666,KID-013,False,0,0,False,False,False,False,PASS
random_1pct_loss,2,ACT-000271,False,16384,24256,24330,96,95,95,1,0,0,0.010416666666666666,KID-013,False,0,0,False,False,False,False,PASS
random_1pct_loss,3,ACT-000272,False,16384,24256,24330,96,95,95,1,0,0,0.010416666666666666,KID-013,False,0,0,False,False,False,False,PASS
random_1pct_loss,4,ACT-000273,False,16384,24256,24330,96,95,95,1,0,0,0.010416666666666666,KID-014,False,0,0,False,False,False,False,PASS
random_1pct_loss,5,ACT-000274,False,16384,24256,24330,96,95,95,1,0,0,0.010416666666666666,KID-014,False,0,0,False,False,False,False,PASS
loss_reorder,1,ACT-000275,False,16384,24244,24318,95,94,94,1,0,5,0.010526315789473684,KID-014,False,0,0,False,False,False,False,PASS
loss_reorder,2,ACT-000276,False,16384,24244,24318,95,94,94,1,0,5,0.010526315789473684,KID-014,False,0,0,False,False,False,False,PASS
loss_reorder,3,ACT-000277,False,16384,24244,24318,95,94,94,1,0,5,0.010526315789473684,KID-014,False,0,0,False,False,False,False,PASS
loss_reorder,4,ACT-000278,False,16384,24244,24318,95,94,94,1,0,5,0.010526315789473684,KID-014,False,0,0,False,False,False,False,PASS
loss_reorder,5,ACT-000279,False,16384,24244,24318,95,94,94,1,0,5,0.010526315789473684,KID-014,False,0,0,False,False,False,False,PASS
