run_id,expected_key_source,measurement_semantics,clients,repeat_index,duration_s,message_size,result,attempted,verified_ok,verified_fail,verified_request_per_second,verified_payload_MB_per_second,e2e_latency_mean_ms,e2e_latency_median_ms,e2e_latency_p95_ms,e2e_latency_p99_ms
RUN-0221,qkd,end-to-end verified AppServer B ACK,1,1,30.0,256,PASS,151,151,0,5.019,0.001,199.114,25.715,1105.440,1221.490
RUN-0222,qkd,end-to-end verified AppServer B ACK,1,2,30.0,256,PASS,157,157,0,5.215,0.001,191.605,24.615,1057.822,1145.318
RUN-0223,qkd,end-to-end verified AppServer B ACK,1,3,30.0,256,PASS,158,158,0,5.105,0.001,195.761,31.186,948.255,1171.013
RUN-0224,qkd,end-to-end verified AppServer B ACK,1,4,30.0,256,PASS,146,146,0,4.833,0.001,206.766,36.558,894.450,1053.233
RUN-0225,qkd,end-to-end verified AppServer B ACK,1,5,30.0,256,PASS,148,148,0,4.898,0.001,204.039,33.509,903.680,1241.691
RUN-0226,qkd,end-to-end verified AppServer B ACK,2,1,30.0,256,PASS,271,271,0,8.933,0.002,223.747,41.423,1099.494,1207.941
RUN-0227,qkd,end-to-end verified AppServer B ACK,2,2,30.0,256,PASS,302,302,0,9.918,0.002,200.123,32.867,1066.383,1243.388
RUN-0228,qkd,end-to-end verified AppServer B ACK,2,3,30.0,256,PASS,279,279,0,9.221,0.002,216.477,33.577,1121.695,1250.727
RUN-0229,qkd,end-to-end verified AppServer B ACK,2,4,30.0,256,PASS,272,272,0,9.060,0.002,220.561,35.340,1065.798,1244.893
RUN-0230,qkd,end-to-end verified AppServer B ACK,2,5,30.0,256,PASS,269,269,0,8.812,0.002,226.588,35.211,1064.682,1184.397
RUN-0231,qkd,end-to-end verified AppServer B ACK,5,1,30.0,256,PASS,587,587,0,19.224,0.005,257.550,55.613,1096.837,1431.615
RUN-0232,qkd,end-to-end verified AppServer B ACK,5,2,30.0,256,PASS,508,508,0,16.874,0.004,296.118,55.462,1192.521,1399.337
RUN-0233,qkd,end-to-end verified AppServer B ACK,5,3,30.0,256,PASS,654,654,0,21.446,0.005,231.253,38.281,1149.016,1332.032
RUN-0234,qkd,end-to-end verified AppServer B ACK,5,4,30.0,256,PASS,544,544,0,17.500,0.004,279.557,52.538,1287.514,1470.682
RUN-0235,qkd,end-to-end verified AppServer B ACK,5,5,30.0,256,PASS,539,539,0,17.506,0.004,284.557,56.367,1224.731,1446.956
RUN-0236,qkd,end-to-end verified AppServer B ACK,10,1,30.0,256,FAIL,1217,828,389,26.528,0.006,366.763,95.355,1366.645,1743.573
RUN-0237,qkd,end-to-end verified AppServer B ACK,10,2,30.0,256,FAIL,1186,795,391,25.758,0.006,375.994,105.052,1330.097,1575.968
RUN-0238,qkd,end-to-end verified AppServer B ACK,10,3,30.0,256,FAIL,788,724,64,23.677,0.006,417.990,119.338,1434.432,1710.287
RUN-0239,qkd,end-to-end verified AppServer B ACK,10,4,30.0,256,FAIL,913,789,124,25.151,0.006,392.765,112.537,1365.250,1688.820
RUN-0240,qkd,end-to-end verified AppServer B ACK,10,5,30.0,256,PASS,761,761,0,24.210,0.006,408.628,121.259,1454.546,1630.726
RUN-0241,qkd,end-to-end verified AppServer B ACK,20,1,30.0,256,FAIL,3207,874,2333,28.181,0.007,629.944,429.632,1680.287,1957.297
RUN-0242,qkd,end-to-end verified AppServer B ACK,20,2,30.0,256,FAIL,1508,998,510,32.804,0.008,592.904,437.906,1535.940,1900.502
RUN-0243,qkd,end-to-end verified AppServer B ACK,20,3,30.0,256,FAIL,2235,913,1322,29.474,0.007,639.591,368.928,1753.743,2243.766
RUN-0244,qkd,end-to-end verified AppServer B ACK,20,4,30.0,256,FAIL,3361,977,2384,31.087,0.008,567.303,215.924,1663.143,2097.458
RUN-0245,qkd,end-to-end verified AppServer B ACK,20,5,30.0,256,FAIL,6021,971,5050,31.716,0.008,505.613,202.574,1645.115,1998.848
RUN-0246,qkd,end-to-end verified AppServer B ACK,30,1,30.0,256,FAIL,2524,920,1604,30.382,0.007,930.124,990.913,2060.910,2430.774
RUN-0247,qkd,end-to-end verified AppServer B ACK,30,2,30.0,256,FAIL,4822,980,3842,31.498,0.008,812.274,706.407,1985.716,2590.901
RUN-0248,qkd,end-to-end verified AppServer B ACK,30,3,30.0,256,FAIL,5791,1021,4770,33.003,0.008,752.533,672.174,1829.062,2272.805
RUN-0249,qkd,end-to-end verified AppServer B ACK,30,4,30.0,256,FAIL,6995,1004,5991,31.101,0.008,783.616,681.491,1991.771,2590.612
RUN-0250,qkd,end-to-end verified AppServer B ACK,30,5,30.0,256,FAIL,5661,964,4697,31.895,0.008,789.549,690.006,1905.934,2534.304
RUN-0251,qkd,end-to-end verified AppServer B ACK,50,1,30.0,256,FAIL,6120,1007,5113,32.794,0.008,1207.025,1179.932,2686.860,3040.578
RUN-0252,qkd,end-to-end verified AppServer B ACK,50,2,30.0,256,FAIL,6985,1082,5903,33.603,0.008,1179.324,1150.847,2655.073,2962.976
RUN-0253,qkd,end-to-end verified AppServer B ACK,50,3,30.0,256,FAIL,5843,974,4869,31.221,0.008,1353.683,1302.931,2866.590,3007.295
RUN-0254,qkd,end-to-end verified AppServer B ACK,50,4,30.0,256,FAIL,5224,1010,4214,32.230,0.008,1307.229,1340.851,2658.196,3007.854
RUN-0255,qkd,end-to-end verified AppServer B ACK,50,5,30.0,256,FAIL,8235,1041,7194,33.566,0.008,1108.057,1133.679,2537.835,2900.131
